YOLOv8n Metrics
04-16-2026 17:13:14 RAM 5897/7607MB (lfb 20x1MB) SWAP 50/3804MB (cached 0MB) CPU [2%@1728,22%@1728,100%@1728,3%@1728,21%@729,9%@729] GR3D_FREQ 0% cpu@49.093C soc2@47.062C soc0@47.625C gpu@48.5C tj@49.093C soc1@47.093C VDD_IN 5302mW/6843mW VDD_CPU_GPU_CV 1671mW/2544mW VDD_SOC 1435mW/1674mW
04-16-2026 17:13:15 RAM 5940/7607MB (lfb 1x2MB) SWAP 72/3804MB (cached 0MB) CPU [4%@1728,82%@1728,6%@1728,4%@1728,24%@729,30%@729] GR3D_FREQ 0% cpu@49.093C soc2@47.125C soc0@47.625C gpu@48.781C tj@49.093C soc1@47.156C VDD_IN 5582mW/6759mW VDD_CPU_GPU_CV 1711mW/2489mW VDD_SOC 1472mW/1660mW
04-16-2026 17:13:16 RAM 5954/7607MB (lfb 6x2MB) SWAP 72/3804MB (cached 0MB) CPU [5%@729,38%@729,13%@729,14%@729,81%@1728,7%@1728] GR3D_FREQ 0% cpu@48.812C soc2@47.031C soc0@47.5C gpu@48.75C tj@48.812C soc1@47.218C VDD_IN 5612mW/6687mW VDD_CPU_GPU_CV 1708mW/2440mW VDD_SOC 1472mW/1649mW
04-16-2026 17:13:17 RAM 5863/7607MB (lfb 2x4MB) SWAP 72/3804MB (cached 0MB) CPU [15%@729,13%@729,13%@729,10%@729,100%@1728,8%@1728] GR3D_FREQ 0% cpu@48.843C soc2@47.031C soc0@47.562C gpu@48.875C tj@48.875C soc1@47.218C VDD_IN 5422mW/6613mW VDD_CPU_GPU_CV 1711mW/2397mW VDD_SOC 1433mW/1636mW
04-16-2026 17:13:18 RAM 5307/7607MB (lfb 42x4MB) SWAP 72/3804MB (cached 0MB) CPU [22%@1728,17%@1728,14%@1728,69%@1728,40%@729,16%@729] GR3D_FREQ 57% cpu@48.968C soc2@47.093C soc0@47.625C gpu@48.906C tj@48.968C soc1@47.093C VDD_IN 5582mW/6555mW VDD_CPU_GPU_CV 1552mW/2350mW VDD_SOC 1555mW/1631mW
04-16-2026 17:13:19 RAM 5244/7607MB (lfb 53x4MB) SWAP 72/3804MB (cached 0MB) CPU [13%@1728,20%@1728,15%@1728,100%@1728,16%@729,24%@729] GR3D_FREQ 0% cpu@48.875C soc2@47.156C soc0@47.781C gpu@48.656C tj@48.875C soc1@47.187C VDD_IN 5701mW/6510mW VDD_CPU_GPU_CV 1671mW/2314mW VDD_SOC 1555mW/1627mW
04-16-2026 17:13:20 RAM 4217/7607MB (lfb 71x4MB) SWAP 72/3804MB (cached 0MB) CPU [2%@729,25%@729,2%@729,16%@729,3%@729,24%@729] GR3D_FREQ 0% cpu@48.375C soc2@46.937C soc0@47.562C gpu@48.5C tj@48.5C soc1@47.093C VDD_IN 4179mW/6394mW VDD_CPU_GPU_CV 842mW/2241mW VDD_SOC 1245mW/1608mW
04-16-2026 17:13:21 RAM 4217/7607MB (lfb 71x4MB) SWAP 72/3804MB (cached 0MB) CPU [10%@729,9%@729,14%@729,20%@729,6%@729,1%@729] GR3D_FREQ 0% cpu@48.343C soc2@46.906C soc0@47.656C gpu@48.812C tj@48.812C soc1@47.281C VDD_IN 3749mW/6268mW VDD_CPU_GPU_CV 645mW/2165mW VDD_SOC 1128mW/1585mW
04-16-2026 17:13:22 RAM 4215/7607MB (lfb 71x4MB) SWAP 72/3804MB (cached 0MB) CPU [18%@729,11%@729,17%@729,14%@729,7%@729,5%@729] GR3D_FREQ 0% cpu@48.5C soc2@46.937C soc0@47.656C gpu@48.718C tj@48.718C soc1@47.031C VDD_IN 3755mW/6154mW VDD_CPU_GPU_CV 645mW/2096mW VDD_SOC 1128mW/1565mW
YOLOv8n Metrics
04-16-2026 17:16:58 RAM 4412/7607MB (lfb 68x4MB) SWAP 72/3804MB (cached 0MB) CPU [21%@1190,17%@1190,17%@1190,15%@1190,98%@1728,20%@1728] GR3D_FREQ 0% cpu@48.093C soc2@46.062C soc0@46.625C gpu@47.468C tj@48.093C soc1@46.312C VDD_IN 5382mW/5382mW VDD_CPU_GPU_CV 1671mW/1671mW VDD_SOC 1435mW/1435mW
